,PC1,PC2,PC3,PC4,PC5,PC8,PC9,PC10,PC11
fixed acidity,0.16,0.59,-0.12,-0.02,0.25,0.59,-0.33,0.13,-0.17
volatile acidity,0,-0.05,0.59,-0.28,0.64,0.03,0.15,0.22,-0.02
citric acid,0.14,0.35,-0.5,-0.15,0.05,-0.15,0.2,0.04,-0.01
residual sugar,0.43,-0.01,0.21,0.27,0.01,-0.39,-0.41,-0.09,-0.49
chlorides,0.21,0.01,0.1,-0.71,-0.32,-0.1,-0.39,-0.05,-0.02
free sulfur dioxide,0.3,-0.29,-0.28,0.31,0.19,-0.08,-0.14,0.57,0.03
total sulfur dioxide,0.41,-0.24,-0.13,0.06,0.3,0.25,0.15,-0.71,-0.04
density,0.51,-0.01,0.13,0.02,-0.09,0.07,-0.09,0.07,0.76
pH,-0.13,-0.58,-0.13,-0.1,-0.13,0.53,-0.26,0.11,-0.14
sulphates,0.04,-0.22,-0.43,-0.44,0.39,-0.27,0.01,0.06,-0.04
alcohol,-0.44,0.04,-0.11,0.14,0.34,-0.2,-0.62,-0.27,0.36
,,,,,.,,,,
