ID,Genus,Gender,Species,State,County,Refuge,Division,Sample Site,Habitat,Collector,Month
1,Agapostemon,Female,sericeus,Missouri,Lafayette,Big Muddy,NA,NA,Field,W. Watkins,Jun
2,Agapostemon,Female,sericeus,Missouri,Lafayette,Big Muddy,NA,BB,Field,W. Watkins,Jun
3,Agapostemon,Female,sericeus,Missouri,Lafayette,Big Muddy,NA,BB,Field,W. Watkins,Jun
4,Agapostemon,Female,sericeus,Missouri,Ray,Big Muddy,NA,BB,Field,NA,Jun
5,Agapostemon,Male,sericeus,Missouri,Lafayette,Big Muddy,NA,BB,Forest,NA,Aug
6,Agapostemon,Female,sericeus,Missouri,Ray,Big Muddy,NA,JAB,Field,NA,Jul
7,Agapostemon,Female,sericeus,Missouri,Ray,Big Muddy,NA,JAB,Field,NA,Jul
8,Agapostemon,Female,sericeus,Missouri,Ray,Big Muddy,NA,JAB,Field,NA,Jul
9,Agapostemon,Female,sericeus,Missouri,Ray,Big Muddy,NA,JAB,Forest,NA,Sept
10,Agapostemon,Male,sericeus,Missouri,Ray,Big Muddy,NA,JAB,Forest,NA,Aug
11,Agapostemon,Male,sericeus,Missouri,Ray,Big Muddy,NA,JAB,Forest,NA,Aug
12,Agapostemon,Male,sericeus,Missouri,Ray,Big Muddy,NA,JAB,Forest,NA,Aug
13,Agapostemon,Male,sericeus,Missouri,Ray,Big Muddy,NA,JAB,Field,NA,Jul
14,Agapostemon,Female,sericeus,Missouri,Lafayette,Big Muddy,NA,NA,Field,W. Watkins,Jun
15,Agapostemon,Female,sericeus,Missouri,Lafayette,Big Muddy,NA,NA,Field,W. Watkins,Jun
16,Agapostemon,Female,sericeus,Missouri,Lafayette,Big Muddy,NA,NA,Field,W. Watkins,Jun
17,Agapostemon,Female,sericeus,Missouri,Lafayette,Big Muddy,NA,NA,Field,W. Watkins,Jun
18,Agapostemon,Female,sericeus,Missouri,Lafayette,Big Muddy,NA,NA,Field,W. Watkins,Jun
19,Agapostemon,Female,sericeus,Missouri,Lafayette,Big Muddy,NA,NA,Field,W. Watkins,Jun
20,Agapostemon,Female,sericeus,Missouri,Lafayette,Big Muddy,NA,NA,Field,W. Watkins,Jun
21,Agapostemon,Female,sericeus,Missouri,Lafayette,Big Muddy,NA,NA,Field,W. Watkins,Jun
