Genus,Species,Gender,State,County,Refuge,Division,Sample Site,Coordinates,Habitat,Date Sampled,Collector,Notes,,,,,,,
Agapostemon,Agapostemon sericeus,Female,Missouri,Lafayette,Big Muddy,N/A,N/A,N/A,old field,Jun. 12,W. Watkins,,,,,,,,
Agapostemon,Agapostemon sericeus,Female,Missouri,Lafayette,Big Muddy,N/A,BB,N/A,old field,Jun. 12,W. Watkins,BB Lafayette Co. ,,,,,,,
Agapostemon,Agapostemon sericeus,Female,Missouri,Lafayette,Big Muddy,N/A,BB,N/A,old field,Jun. 12,W. Watkins,BB Lafayette Co. ,,,,,,,
Agapostemon,Agapostemon sericeus,Female,Missouri,Ray,Big Muddy,N/A,BB,N/A,Old Field,Jun. 20,N/A,BB Ray,,,,,,,
Agapostemon,Agapostemon sericeus,Male,Missouri,Lafayette,Big Muddy,N/A,BB,N/A,Forest,Aug. 20,N/A,,,,,,,,
Agapostemon,Agapostemon sericeus,Female,Missouri,Ray,Big Muddy,N/A,JAB,N/A,Old Field,Jul. 17,N/A,JAB Ray,,,,,,,
Agapostemon,Agapostemon sericeus,Female,Missouri,Ray,Big Muddy,N/A,JAB,N/A,Old Field,Jul. 17,N/A,JAB Ray,,,,,,,
Agapostemon,Agapostemon sericeus,Female,Missouri,Ray,Big Muddy,N/A,JAB,N/A,Old Field,Jul. 17,N/A,JAB Ray,,,,,,,
Agapostemon,Agapostemon sericeus,Female,Missouri,Ray,Big Muddy,N/A,JAB,N/A,Forest,Sept. 26,N/A,,,,,,,,
Agapostemon,Agapostemon sericeus,Male,Missouri,Ray,Big Muddy,N/A,JAB,N/A,Forest,Aug. 20,N/A,,,,,,,,
Agapostemon,Agapostemon sericeus,Male,Missouri,Ray,Big Muddy,N/A,JAB,N/A,Forest,Aug. 20,N/A,,,,,,,,
Agapostemon,Agapostemon sericeus,Male,Missouri,Ray,Big Muddy,N/A,JAB,N/A,Forest,Aug. 20,N/A,,,,,,,,
Agapostemon,Agapostemon sericeus,Male,Missouri,Ray,Big Muddy,N/A,JAB,N/A,Old Field,Jul. 17,N/A,,,,,,,,
Agapostemon,Agapostemon sericeus,Female,Missouri,Lafayette,Big Muddy,N/A,N/A,N/A,old field,Jun. 12,W. Watkins,,,,,,,,
Agapostemon,Agapostemon sericeus,Female,Missouri,Lafayette,Big Muddy,N/A,N/A,N/A,old field,Jun. 12,W. Watkins,,,,,,,,
Agapostemon,Agapostemon sericeus,Female,Missouri,Lafayette,Big Muddy,N/A,N/A,N/A,old field,Jun. 12,W. Watkins,,,,,,,,
Agapostemon,Agapostemon sericeus,Female,Missouri,Lafayette,Big Muddy,N/A,N/A,N/A,old field,Jun. 12,W. Watkins,,,,,,,,
Agapostemon,Agapostemon sericeus,Female,Missouri,Lafayette,Big Muddy,N/A,N/A,N/A,old field,Jun. 12,W. Watkins,,,,,,,,
Agapostemon,Agapostemon sericeus,Female,Missouri,Lafayette,Big Muddy,N/A,N/A,N/A,old field,Jun. 12,W. Watkins,,,,,,,,
Agapostemon,Agapostemon sericeus,Female,Missouri,Lafayette,Big Muddy,N/A,N/A,N/A,old field,Jun. 12,W. Watkins,,,,,,,,
